,name,labels
0,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_35_Heliantus_test_df8_0_25.192982_0.352941_4.599922.jpeg,Helianthus annuus
1,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_21_Rapseed_34.373_-5.256_0.744.jpeg,Brassica
2,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_43_Calluna_1905210954_0_49.269_4.362_0.962.jpeg,Erica.m
3,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Pinus/Pinus-0-Sample_77_Pinus_Poaceae_2112211316_0_34.150_4.440_5.508.jpeg,Pinus
4,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-1-Sample_43_Calluna_1305211720_0_15.497_0.772_-0.001.jpeg,Erica.m
5,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_23_Euc_Ech_Coro_18.591_-4.013_0.794.jpeg,Eucalyptus sp.
6,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_56_BrassicaHoney_Salix_Quercus_1606211359_0_5.415_9.737_0.656.jpeg,Brassica
7,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-0-Sample_67_Citrus_2809211739_0_41.283_13.470_5.541.jpeg,Citrus sp
8,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-7-Sample_66_Echium_Lotus_Castanea_Euc_2109211645_0_20.770_-4.329_5.192.jpeg,Eucalyptus sp.
9,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-1-Sample_17_sunflower_0_16.771930_0.352941_4.592129.jpeg,Helianthus annuus
10,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-2-Sample_21_Rapseed_43.498_-1.888_0.785.jpeg,Brassica
11,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_58_Vaccinium_myrtillus_0607210919_0_10.610_-3.150_5.096.jpeg,Erica.m
12,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_0803211002_0_35.019_3.962_0.757.jpeg,Rosmarinus officinalis
13,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_66_Echium_Lotus_Castanea_Euc_2109210937_0_11.618_-1.216_5.211.jpeg,Eucalyptus sp.
14,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_23_Euc_Ech_Coro_29.088_0.256_0.801.jpeg,Eucalyptus sp.
15,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Taraxacum/Taraxacum-0-Sample_46_Taraxacum_3003211226_29.647059_3.882353_0.809961.jpeg,Taraxacum
16,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-0-Sample_71_Lavanda_Espliego_1410211553_0_46.756_8.962_5.573.jpeg,Lavandula
17,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-3-Sample_62_Thymus_0_41.771930_0.000000_4.809395.jpeg,Citrus sp
18,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-4-Sample_49_Tilia_Flor_3105211737_23.647059_0.705882_4.735787.jpeg,Tilia
19,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-0-Sample_67_Citrus_2909211029_0_49.260_8.085_5.564.jpeg,Citrus sp
20,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Taraxacum/Taraxacum-0-Sample_79_UC_1702221047_0_-0.567_8.353_5.267.jpeg,Taraxacum
21,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-1-Sample_71_Lavanda_Espliego_2110210902_0_18.388_0.632_5.420.jpeg,Lavandula
22,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-2-Sample_64_Erica.t_Calluna_0209211703_0_11.204_-3.057_5.250.jpeg,Erica.m
23,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-3-Sample_71_Lavanda_Espliego_2110210902_0_16.704_0.584_5.415.jpeg,Lavandula
24,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_54.707_1.412_0.809.jpeg,Rosmarinus officinalis
25,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_58_Vaccinium_myrtillus_2106211338_0_37.399_3.141_0.841.jpeg,Erica.m
26,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-1-Sample_17_sunflower_0709211348_0_33.977_9.587_5.215.jpeg,Helianthus annuus
27,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-0-Citrus_no_fucsin_25.792_-1.019_0.821.jpeg,Citrus sp
28,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_21_Rapseed_28.535_0.437_0.702.jpeg,Brassica
29,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-1-Sample_67_Citrus_2909211528_0_19.004_-1.651_5.520.jpeg,Citrus sp
30,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_34.017_5.112_0.733.jpeg,Rosmarinus officinalis
31,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_Rosmarinus_253.jpeg,Rosmarinus officinalis
32,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-0-Sample_71_Lavanda_Espliego_2110210928_0_23.551_3.477_5.450.jpeg,Lavandula
33,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-1-Sample_62_Thymus_0709211148_0_37.566_5.835_5.222.jpeg,Citrus sp
34,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cistus sp/Cistus sp-1-Sample_68_Persea_0410211000_0_50.3590_0.4314_4.5899_2.jpeg,Cistus sp
35,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-1-Sample_71_Lavanda_Espliego_2110210900_0_12.387_0.599_5.414.jpeg,Lavandula
36,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-5-Sample_71_Lavanda_Espliego_1810211340_0_15.496_3.232_5.516.jpeg,Lavandula
37,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_21_Rapseed_5.945_5.656_0.743.jpeg,Brassica
38,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_66_Echium_Lotus_Castanea_Euc_2109211222_0_39.013_4.050_5.206.jpeg,Eucalyptus sp.
39,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_0803211005_0_47.350_4.231_0.781.jpeg,Rosmarinus officinalis
40,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-6-Sample_66_Echium_Lotus_Castanea_Euc_2109211629_0_2.200_6.642_5.152.jpeg,Eucalyptus sp.
41,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_0803211006_0_56.492_4.444_0.858.jpeg,Rosmarinus officinalis
42,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_17_sunflower_Girasol 107.bmp,Helianthus annuus
43,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-2-Sample_47_Tilia_0206211407_0_-1.855_-2.622_0.685.jpeg,Tilia
44,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-2-Sample_22_imported_Ana_050320211215_Capture_613.jpg,Helianthus annuus
45,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_21_Rapseed_0_8.596491_0.705882_0.733305_2.jpeg,Brassica
46,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-0-Sample_67_Citrus_2909211518_0_52.278_-0.632_5.566.jpeg,Citrus sp
47,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_52_Brassica_0_25.192982_3.176471_4.678550.jpeg,Brassica
48,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_56_BrassicaHoney_Salix_Quercus_1606211613_0_47.348_0.550_0.724.jpeg,Brassica
49,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cardus/Cardus-0-Sample_68_Persea_0510211120_0_48.3957_3.5478_5.0680.jpeg,Cardus
50,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cardus/Cardus-0-Sample_67_Citrus_0410211059_0_21.062_10.420_5.384.jpeg,Cardus
51,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_56_BrassicaHoney_Salix_Quercus_1606211357_0_31.871_6.953_0.718.jpeg,Brassica
52,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_56_BrassicaHoney_Salix_Quercus_1606211613_0_43.897_0.666_0.717.jpeg,Brassica
53,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_21_Rapseed_35.977_9.225_0.789.jpeg,Brassica
54,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_22_imported_Ana_Capture_886.jpg,Helianthus annuus
55,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cistus sp/Cistus sp-1-Sample_62_Thymus_0709211124_0_29.314_7.218_5.204.jpeg,Cistus sp
56,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Erica.m-0-Sample_74_Ceratonia_0312210939_0_40.175_6.534_5.546.jpeg,Erica.m
57,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-5-Sample_19_2202211823_43.500000_9.928571_4.473137.jpeg,Helianthus annuus
58,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_21_Rapseed_18.347_-0.163_0.685.jpeg,Brassica
59,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_23_Euc_Ech_Coro_18.591_-4.013_0.791.jpeg,Eucalyptus sp.
60,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Erica.m-1-Sample_72_Arbutus_Erica_2710211140_0_19.863_9.386_5.526.jpeg,Erica.m
61,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-2-Sample_21_Rapseed_1105211320_1.764706_0.352941_0.790302.jpeg,Brassica
