name,labels
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-0-Sample_3_Capture_128.bmp,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-0-Sample_66_Echium_Lotus_Castanea_Euc_2109211119_0_6.832_2.908_5.219.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_23_Euc_Ech_Coro_8.679_-4.175_0.794.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-3-Sample_3_Capture_168.bmp,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_61_Olea_Brassica_Salix_0_25.192982_0.352941_4.968890.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_66_Echium_Lotus_Castanea_Euc_2109211057_0_-3.769_1.082_5.228.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-0-Sample_66_Echium_Lotus_Castanea_Euc_2109211630_0_-4.953_6.776_5.159.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-7-Sample_66_Echium_Lotus_Castanea_Euc_2109211645_0_20.770_-4.329_5.193.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-3-Sample_66_Echium_Lotus_Castanea_Euc_2109210929_0_37.757_-1.599_5.237.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_66_Echium_Lotus_Castanea_Euc_2109210928_0_42.125_-1.517_5.285.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-3-Sample_66_Echium_Lotus_Castanea_Euc_2109211059_0_1.899_1.075_5.219.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-8-Sample_66_Echium_Lotus_Castanea_Euc_2109211645_0_20.486_-4.511_5.191.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_66_Echium_Lotus_Castanea_Euc_2109211125_0_8.489_3.957_5.215.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_23_Euc_Ech_Coro_30.624_-1.719_0.799.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_23_Euc_Ech_Coro_Eucalyptus_Coronilla_Echium_29.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-12-Sample_66_Echium_Lotus_Castanea_Euc_2109211233_0_13.291_3.366_5.149.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-0-Sample_65_Castanea_0906211541_25.058824_2.117647_4.732103.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_23_Euc_Ech_Coro_16.752_0.469_0.791.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_23_Euc_Ech_Coro_30.664_-0.844_0.798.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_65_Castanea_1309211225_0_29.219_-0.067_5.161.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_66_Echium_Lotus_Castanea_Euc_2109211541_0_6.985_-0.093_5.119.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-15-Sample_66_Echium_Lotus_Castanea_Euc_2109211228_0_30.061_3.198_5.187.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_3_Capture_464.bmp,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-0-Sample_23_Euc_Ech_Coro_15.595_0.256_0.790.jpeg,Eucalyptus sp.
/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-0-Sample_23_Euc_Ech_Coro_38.951_-1.706_0.816.jpeg,Eucalyptus sp.
